Date,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International
2002/10/01,1500,143,158879,20535
2002/11/01,1375,95,133940,15244
2002/12/01,1404,94,160942,16236
2003/01/01,1384,96,127975,13528
2003/02/01,1178,84,132958,13314
2003/03/01,1371,100,147227,15288
2003/04/01,1324,90,149094,14227
2003/05/01,1255,90,140062,14882
2003/06/01,1263,120,151221,21915
2003/07/01,1306,161,163896,23224
2003/08/01,1316,166,163779,25029
2003/09/01,1242,125,123023,17861
2003/10/01,1288,138,153833,19257
2003/11/01,1313,118,141159,17709
2003/12/01,1303,120,157455,21656
2004/01/01,1356,128,133279,15986
2004/02/01,1381,123,151067,17142
2004/03/01,1558,127,175978,20181
2004/04/01,1551,114,181431,18673
2004/05/01,1468,143,157558,24244
2004/06/01,1424,145,165347,28020
2004/07/01,1477,163,174268,28261
2004/08/01,1498,173,178308,29454
2004/09/01,1263,137,134903,24015
2004/10/01,1375,147,167429,25313
2004/11/01,1398,94,154032,16432
2004/12/01,1458,107,166540,17692
2005/01/01,1182,116,132694,16972
2005/02/01,1171,117,140795,18391
2005/03/01,1282,129,162436,21883
2005/04/01,1304,109,162039,19097
2005/05/01,1282,186,152982,31199
2005/06/01,1209,179,159783,32098
2005/07/01,1237,185,172311,31318
2005/08/01,1216,181,167339,31518
2005/09/01,1124,167,136538,29409
2005/10/01,1127,181,155628,29734
2005/11/01,1120,133,144760,23579
2005/12/01,1065,145,136806,24187
2006/01/01,1042,139,121530,19701
2006/02/01,930,121,119826,18202
2006/03/01,1104,151,144253,24457
2006/04/01,1123,148,149834,24893
2006/05/01,1146,178,148848,28942
2006/06/01,1120,172,154231,32980
2006/07/01,1136,176,162568,30594
2006/08/01,1148,171,156096,29773
2006/09/01,1047,157,124864,26348
2006/10/01,1076,174,146100,25530
2006/11/01,1014,109,133347,18814
2006/12/01,1022,107,130596,17957
2007/01/01,1014,106,113475,16323
2007/02/01,878,95,113817,15716
2007/03/01,999,106,133138,19303
2007/04/01,1046,122,138028,20837
2007/05/01,1111,136,145621,24446
2007/06/01,1090,138,156012,27305
2007/07/01,1145,146,164982,24306
2007/08/01,1155,145,165681,26595
2007/09/01,1058,128,134057,23976
2007/10/01,1102,146,156355,26025
2007/11/01,1042,90,140745,17112
2007/12/01,973,98,130932,17381
2008/01/01,985,90,117625,14680
2008/02/01,901,94,119596,14429
2008/03/01,992,91,131161,16579
2008/04/01,1046,95,138232,16925
2008/05/01,1134,96,147221,17763
2008/06/01,1113,93,154578,18405
2008/07/01,1160,98,162371,16309
2008/08/01,1160,98,159213,18228
2008/09/01,990,93,123240,16615
2008/10/01,1011,109,140294,17542
2008/11/01,881,76,113072,12857
2008/12/01,874,80,120285,14067
2009/01/01,870,89,99503,13253
2009/02/01,831,77,107435,10854
2009/03/01,918,88,122036,12927
2009/04/01,991,89,138444,13904
2009/05/01,1038,119,145459,17820
2009/06/01,1023,124,147757,21685
2009/07/01,1062,114,164163,18198
2009/08/01,1071,110,161586,19118
2009/09/01,1010,89,130537,15445
2009/10/01,1055,98,155146,16766
2009/11/01,963,77,128061,12311
2009/12/01,923,84,129776,14652
2010/01/01,913,89,106373,13922
2010/02/01,824,81,107469,12168
2010/03/01,937,96,126480,14537
2010/04/01,900,99,130922,15488
2010/05/01,892,116,128388,18618
2010/06/01,873,124,128063,22080
2010/07/01,949,126,140526,17842
2010/08/01,948,129,141787,19219
2010/09/01,881,122,118643,19988
2010/10/01,901,118,139554,16950
2010/11/01,827,59,115402,9706
2010/12/01,781,54,110521,8779
2011/01/01,754,61,92332,8197
2011/02/01,693,57,93253,7056
2011/03/01,824,69,110659,7976
2011/04/01,805,86,112833,10384
2011/05/01,774,124,114452,15826
2011/06/01,786,118,114594,18733
2011/07/01,816,121,124963,14285
2011/08/01,797,118,124128,17561
2011/09/01,790,119,108379,17373
2011/10/01,808,100,122953,13248
2011/11/01,794,53,112994,6994
2011/12/01,820,49,114452,7424
2012/01/01,833,49,99659,5924
2012/02/01,790,50,104453,4652
2012/03/01,860,57,122047,6325
2012/04/01,881,59,128182,7479
2012/05/01,923,92,136369,10650
2012/06/01,888,107,133098,17257
2012/07/01,933,124,142232,14935
2012/08/01,928,124,141653,18228
2012/09/01,866,119,115482,16581
2012/10/01,835,106,127174,12904
2012/11/01,846,30,121992,5423
2012/12/01,862,32,121036,5156
2013/01/01,842,31,105369,3967
2013/02/01,737,25,101103,3306
2013/03/01,884,28,117898,4088
2013/04/01,945,1,127634,476
2013/05/01,988,1,135275,432
2013/06/01,998,19,140847,3646
2013/07/01,1050,31,151590,3874
2013/08/01,1053,31,148209,5364
2013/09/01,958,31,120094,5293
2013/10/01,1001,25,140364,3883
2013/11/01,913,,118474,745
2013/12/01,871,,122428,963
2014/01/01,806,1,100460,677
2014/02/01,712,,94614,690
2014/03/01,909,,117509,699
2014/04/01,933,,126944,691
2014/05/01,989,1,136807,493
2014/06/01,986,20,134385,3969
2014/07/01,1022,31,142995,3753
2014/08/01,1015,18,140028,2756
2014/09/01,964,,123111,470
2014/10/01,1001,,133760,660
2014/11/01,920,,119508,499
2014/12/01,950,,133487,778
2015/01/01,815,,103777,589
2015/02/01,659,,93873,848
2015/03/01,868,,117667,1155
2015/04/01,913,,125722,824
2015/05/01,952,25,128224,3735
2015/06/01,975,30,131362,5074
2015/07/01,2568,39,310241,4945
2015/08/01,2544,39,307808,5914
2015/09/01,2447,31,272878,4129
2015/10/01,2518,23,306991,3053
2015/11/01,2338,,265868,1154
2015/12/01,2169,13,252648,2250
2016/01/01,2136,20,220411,2485
2016/02/01,2122,17,232106,2550
2016/03/01,2399,16,273810,2662
2016/04/01,2333,20,284471,3192
2016/05/01,2485,35,291508,3860
2016/06/01,2506,38,302359,4551
2016/07/01,2478,40,305627,4264
2016/08/01,2502,37,299950,4187
2016/09/01,2253,25,258968,2157
2016/10/01,2328,2,288571,350
2016/11/01,2121,4,267466,701
2016/12/01,1868,12,238393,1879
2017/01/01,1920,,215765,
2017/02/01,1776,,212024,
2017/03/01,2050,,249800,
